Year,urban % access to electricity
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,82.4
1991,83.78395844
1992,83.8470993
1993,83.9070816
1994,83.96074677
1995,84.00492859
1996,84.03647614
1997,84.05222321
1998,84.04901886
1999,84.3
2000,83.98390961
2001,83.93312836
2002,83.88101959
2003,84.90000153
2004,83.80059814
2005,83.78617859
2006,83.79611206
2007,86.16287994
2008,84.80000305
2009,83.92776489
2010,79.80000305
2011,87.09999847
2012,84.0927887
2013,83.59999847
2014,84.15563965
2015,81.5
2016,86
2017,
2018,
2019,
2020,83.90000153
